식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),니코틴산(mg),니코틴아마이드(mg),비오틴 / 바이오틴(μg),비타민 B6 (mg),비타민 B12(μg),엽산(μg DFE),콜린(mg),판토텐산(mg),비타민 D2(μg),비타민 D3(μg),비타민 E(mg α-TE),알파 토코페롤(mg),베타 토코페롤(mg),감마 토코페롤(mg),델타 토코페롤(mg),알파 토코트리에놀(mg),베타 토코트리에놀(mg),감마 토코트리에놀(mg),델타 토코트리에놀(mg),비타민 K(μg),비타민 K1(μg),비타민 K2(μg),갈락토오스(g),과당(g),당알콜(g),맥아당(g),알룰로오스(g),에리스리톨(g),유당(g),자당(g),타가토스(g),포도당(g),불포화지방(g),EPA + DHA(mg),가돌레산(20:1 n-11) / 에이코센산(20:1 n-9)(mg),감마 리놀렌산(18:3 n-6)(mg),네르본산(24:1)(mg),도코사디에노산(22:2)(mg),"도코사펜타에노산(DPA, 22:5 n-3)(mg)","도코사헥사에노산(DHA, 22:6 n-3)(mg)",디호모리놀렌산(20:3 n-3)(mg),라우르산(12:0)(mg),리그노세르산(24:0)(mg),리놀레산(18:2 n-6)(g),미리스톨레산(14:1)(mg),미리스트산(14:0)(mg),박센산(18:1 n-7)(mg),베헨산(22:0)(mg),부티르산(4:0)(mg),스테아르산(18:0)(mg),스테아리돈산(18:4 n-3)(mg),아라키돈산(20:4 n-6)(mg),아라키드산(20:0)(mg),알파리놀렌산(18:3 n-3)(g),에루크산(22:1)(mg),에이코사디에노산(20:2 n-6)(mg),에이코사트리에노산(20:3 n-6)(mg),"에이코사펜타에노산(EPA, 20:5 n-3)(mg)",오메가3 지방산(g),오메가6 지방산(g),올레산(18:1 n-9)(mg),카프로산(6:0)(mg),카프르산(10:0)(mg),카프릴산(8:0)(mg),트라이데칸산(13:0)(mg),트랜스 리놀레산(18:2t)(mg),트랜스 리놀렌산(18:3t)(mg),트랜스 올레산(18:1 trans n-9)(mg),트리코산산(23:0)(mg),팔미톨레산(16:1)(mg),팔미트산(16:0)(mg),펜타데칸산(15:0)(mg),헨에이코산산(21:0)(mg),헵타데센산(17:1)(mg),헵타데칸산(17:0)(mg),구리(μg),마그네슘(mg),망간(mg),몰리브덴(μg),불소(mg),셀레늄(μg),아연(mg),염소(mg),요오드(μg),크롬(μg),아미노산(mg),필수아미노산(mg),비필수아미노산(mg),글루탐산(mg),글리신(mg),라이신(mg),류신 / 루신(mg),메티오닌(mg),발린(mg),세린(mg),시스테인(mg),아르기닌(mg),아스파르트산(mg),알라닌(mg),이소류신 / 이소루신(mg),타우린(mg),트레오닌(mg),트립토판(mg),티로신(mg),페닐알라닌(mg),프롤린(mg),히스티딘(mg),카페인(mg),토코페롤(mg),토코트리에놀(mg),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자
D101-007480000-0001,김밥_채소,D,음식,1,가정식(분석 함량),1,밥류,1007,김밥,100748,채소,10074800,해당없음,0,해당없음,100g,158,63.8,4.6,3.65,1.28,26.65,0.14,3.4,38.0,0.44,69.0,164.0,309.0,160.0,5.0,1851.0,0.321,0.071,1.061,1.81,0.0,29.93,0.99,0.02,,,,,1.05,19.05,,,,,,,,,,,,,,,,,,0.06,,0.0,,,0.0,0.0,,0.09,,,10.0,0.0,,,0.0,10.0,,0.0,,0.85,0.0,0.0,50.0,,0.0,290.0,,0.0,10.0,0.07,,10.0,10.0,20.0,,,1150.0,0.0,0.0,0.0,,10.0,0.0,10.0,,50.0,670.0,,,,,80.0,15.54,0.29,,,8.41,0.85,,,,4159.48,,,748.86,267.34,246.43,357.09,86.01,179.22,265.88,34.97,275.11,453.52,294.46,138.89,,190.63,,109.88,208.09,199.43,103.68,-,1.05,0.17,3,식품의약품안전처,280g,해당없음,1,분석,2017-12-31,2025-04-08
D101-007490000-0001,김밥_치즈,D,음식,1,가정식(분석 함량),1,밥류,1007,김밥,100749,치즈,10074900,해당없음,0,해당없음,100g,177,63.3,6.24,7.03,1.33,22.1,0.21,2.6,6.0,0.21,15.0,41.0,169.0,58.0,13.0,532.0,0.356,0.074,0.0,2.15,0.0,35.07,2.43,0.13,,,,,0.63,22.13,,,,,,,,,,,,,,,,,,0.01,,0.17,,,0.03,0.0,,0.0,,,30.0,0.0,,,0.0,0.0,,50.0,,1.54,10.0,180.0,130.0,,10.0,600.0,,10.0,20.0,0.07,,10.0,30.0,10.0,,,2410.0,10.0,40.0,10.0,,50.0,10.0,70.0,,100.0,1500.0,,,,,60.0,5.36,0.24,,,10.38,0.44,,,,5980.21,,,1159.71,268.2,407.63,499.49,168.37,309.63,342.22,122.91,367.75,536.98,340.67,251.5,,264.66,,213.85,294.07,266.12,166.46,-,0.77,0.11,3,식품의약품안전처,270g,해당없음,1,분석,2018-12-31,2025-04-08
D101-007520000-0001,김밥_풋고추,D,음식,1,가정식(분석 함량),1,밥류,1007,김밥,100752,풋고추,10075200,해당없음,0,해당없음,100g,169,61.9,4.88,4.41,1.32,27.52,0.09,3.3,19.0,0.49,70.0,148.0,327.0,104.0,10.0,1117.0,0.145,0.079,1.145,2.92,0.0,37.81,1.24,0.03,,,,,1.28,21.44,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.09,,,20.0,0.0,,,0.0,0.0,,0.0,,1.03,0.0,20.0,80.0,,0.0,380.0,,0.0,10.0,0.07,,10.0,20.0,20.0,,,1630.0,0.0,0.0,0.0,,10.0,0.0,10.0,,80.0,830.0,,,,,80.0,14.24,0.3,,,7.53,0.87,,,,4416.23,,,779.87,230.17,266.2,383.06,97.65,200.11,290.54,36.7,295.84,486.88,316.67,154.86,,207.73,,114.26,225.5,212.8,117.4,-,1.2,0.17,3,식품의약품안전처,290g,해당없음,1,분석,2017-12-31,2025-04-08
D101-010080000-0001,덮밥_낙지,D,음식,1,가정식(분석 함량),1,밥류,1010,덮밥,101008,낙지,10100800,해당없음,0,해당없음,100g,150,65.9,5.88,3.34,0.8,24.12,2.16,2.3,15.0,0.36,47.0,95.0,212.0,9.0,0.0,105.0,0.0,0.069,0.0,0.81,0.0,32.45,0.37,0.01,,,,,0.2,14.23,,,,,,,,,,,,,,,,,,0.5,,0.13,,,0.0,0.97,,0.56,,,10.0,10.0,,,0.0,30.0,,0.0,,1.0,0.0,10.0,30.0,,0.0,80.0,,0.0,10.0,0.12,,0.0,10.0,20.0,,,420.0,0.0,0.0,0.0,,10.0,0.0,0.0,,0.0,280.0,,,,,240.0,13.65,0.21,,,9.89,1.18,,,,4971.0,,,875.2,301.09,324.75,395.61,111.53,261.43,267.45,40.87,455.31,506.79,269.04,217.64,,223.64,,157.12,223.29,225.68,114.56,-,2.05,0.06,3,식품의약품안전처,350g,해당없음,1,분석,2017-12-31,2025-04-08
D101-010110000-0001,덮밥_닭고기,D,음식,1,가정식(분석 함량),1,밥류,1010,덮밥,101011,닭고기,10101100,해당없음,0,해당없음,100g,125,70.8,11.4,2.18,0.76,14.82,1.07,1.1,21.0,0.53,108.0,137.0,153.0,63.0,50.0,167.0,0.144,0.122,0.0,0.0,0.0,92.29,0.79,0.01,,,,,0.35,25.4,,,,,,,,,,,,,,,,,,0.6,,0.0,,,0.0,0.01,,0.46,,,10.0,0.0,,,0.0,10.0,,0.0,,0.39,0.0,10.0,60.0,,0.0,190.0,,0.0,0.0,0.02,,0.0,40.0,0.0,,,850.0,0.0,0.0,0.0,,0.0,0.0,0.0,,70.0,590.0,,,,,110.0,15.5,0.16,,,11.73,0.6,,,,9419.53,,,1468.22,432.88,766.56,827.09,246.24,453.09,572.18,72.72,622.0,1063.59,623.98,389.06,,486.0,,315.71,448.46,390.39,241.37,-,0.65,0.09,3,식품의약품안전처,410g,해당없음,1,분석,2017-12-31,2025-04-08
D101-010150000-0001,덮밥_돼지고기(제육),D,음식,1,가정식(분석 함량),1,밥류,1010,덮밥,101015,돼지고기(제육),10101500,해당없음,0,해당없음,100g,202,62.0,9.43,10.77,0.95,16.86,1.98,1.4,11.0,0.49,101.0,196.0,174.0,31.0,3.0,343.0,0.319,0.16,15.33,0.0,0.0,27.94,3.42,0.05,,,,,0.13,14.41,,,,,,,,,,,,,,,,,,0.44,,0.0,,,0.0,0.73,,0.8,,,80.0,10.0,,,10.0,0.0,,10.0,,1.9,0.0,130.0,280.0,,0.0,1110.0,,10.0,20.0,0.13,,50.0,50.0,0.0,,,3960.0,0.0,10.0,0.0,,20.0,10.0,20.0,,190.0,2140.0,,,,,100.0,15.01,0.23,,,10.9,1.32,,,,8272.16,,,1440.39,475.65,700.88,678.65,179.25,472.06,366.98,47.54,711.45,825.52,503.02,364.08,,357.68,,207.99,348.3,349.63,243.07,-,0.92,0.03,3,식품의약품안전처,470g,해당없음,1,분석,2018-12-31,2025-04-08
D101-010240000-0001,덮밥_불고기,D,음식,1,가정식(분석 함량),1,밥류,1010,덮밥,101024,불고기,10102400,해당없음,0,해당없음,100g,182,60.2,6.6,5.31,0.97,26.96,0.07,2.8,6.0,0.82,73.0,138.0,253.0,1.0,0.0,7.0,0.163,0.06,0.0,0.0,0.0,15.83,1.4,0.24,,,,,0.45,4.41,,,,,,,,,,,,,,,,,,0.07,,0.0,,,0.0,0.0,,0.0,,,10.0,0.0,,,0.0,0.0,,0.0,,0.29,20.0,100.0,50.0,,0.0,520.0,,0.0,10.0,0.01,,0.0,10.0,0.0,,,1130.0,0.0,0.0,0.0,,50.0,0.0,190.0,,80.0,770.0,,,,,70.0,9.71,0.34,,,10.02,2.12,,,,5770.72,,,1173.92,301.85,435.62,480.88,78.78,269.5,298.33,105.79,400.69,568.52,379.98,228.27,,276.33,,96.15,262.1,217.54,196.46,-,0.52,0.07,3,식품의약품안전처,400g,해당없음,1,분석,2018-12-31,2025-04-08
D101-010390000-0001,덮밥_오징어,D,음식,1,가정식(분석 함량),1,밥류,1010,덮밥,101039,오징어,10103900,해당없음,0,해당없음,100g,135,68.1,7.18,2.01,0.81,21.94,0.66,2.6,8.0,0.22,78.0,135.0,162.0,46.0,1.0,539.0,0.003,0.019,0.014,0.0,0.0,46.44,0.24,0.0,,,,,0.57,12.03,,,,,,,,,,,,,,,,,,0.23,,0.0,,,0.0,0.43,,0.0,,,10.0,0.0,,,0.0,90.0,,0.0,,0.4,0.0,10.0,10.0,,0.0,40.0,,0.0,0.0,0.04,,0.0,0.0,30.0,,,160.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,190.0,,,,,100.0,17.31,0.27,,,10.94,0.72,,,,5469.03,,,935.5,281.76,361.93,448.14,118.07,298.73,274.72,32.73,572.51,565.74,326.29,208.94,,241.72,,150.66,256.68,278.68,116.24,-,0.93,0.07,3,식품의약품안전처,360g,해당없음,1,분석,2018-12-31,2025-04-08
D101-016000000-0001,보리밥,D,음식,1,가정식(분석 함량),1,밥류,1016,보리밥,101600,해당없음,10160000,해당없음,0,해당없음,100g,161,59.9,2.9,0.24,0.24,36.77,2.57,2.4,7.0,0.2,34.0,28.0,4.0,0.0,0.0,0.0,0.035,0.005,0.045,0.02,0.0,0.0,0.1,0.0,,,,,0.0,4.98,,,,,,,,,,,,,,,,,,0.0,,2.57,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,0.13,0.0,10.0,0.0,,0.0,10.0,,0.0,0.0,0.01,,0.0,0.0,0.0,,,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,90.0,,,,,140.0,7.18,0.42,,,0.76,0.76,,,,2393.98,,,505.96,115.97,83.04,212.12,53.97,108.03,144.16,40.07,186.55,217.41,138.36,76.55,,81.52,,77.54,142.96,158.66,51.15,-,0.29,0.0,3,식품의약품안전처,200g,해당없음,1,분석,2017-12-31,2025-04-08
D101-017000000-0001,볶음밥,D,음식,1,가정식(분석 함량),1,밥류,1017,볶음밥,101700,해당없음,10170000,해당없음,0,해당없음,100g,183,56.9,5.56,2.76,0.84,33.97,0.0,1.7,13.0,0.52,61.0,99.0,212.0,40.0,10.0,356.0,0.12,0.034,0.109,4.13,0.0,29.28,1.1,0.03,,,,,0.0,13.91,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,20.0,10.0,,,0.0,0.0,,0.0,,1.26,0.0,30.0,80.0,,0.0,310.0,,0.0,10.0,0.12,,10.0,20.0,0.0,,,1180.0,0.0,0.0,0.0,,20.0,0.0,10.0,,60.0,750.0,,,,,90.0,6.72,0.35,,,7.04,1.0,,,,4648.48,,,892.71,210.06,294.25,387.4,92.61,219.12,278.17,131.4,321.88,440.76,296.85,180.75,,208.31,,177.55,227.48,165.32,123.88,-,2.04,0.0,3,식품의약품안전처,350g,해당없음,1,분석,2017-12-31,2025-04-08
D101-017030000-0001,볶음밥_계란,D,음식,1,가정식(분석 함량),1,밥류,1017,볶음밥,101703,계란,10170300,해당없음,0,해당없음,100g,225,56.6,6.62,11.28,1.25,24.23,0.17,1.8,18.0,0.44,94.0,159.0,318.0,47.0,16.0,378.0,0.077,0.085,0.0,31.12,0.0,62.63,2.2,0.05,,,,,0.15,27.44,,,,,,,,,,,,,,,,,,0.17,,0.0,,,0.0,0.0,,0.0,,,30.0,20.0,,,0.0,10.0,,0.0,,3.58,0.0,0.0,100.0,,0.0,650.0,,0.0,30.0,0.21,,20.0,30.0,10.0,,,3400.0,0.0,0.0,0.0,,40.0,0.0,20.0,,90.0,1500.0,,,,,70.0,11.75,0.27,,,8.39,0.79,,,,5202.32,,,900.45,241.94,350.9,448.53,122.08,265.95,341.1,50.04,349.65,583.13,333.98,211.63,,250.9,,107.45,261.23,233.78,149.58,-,3.71,0.1,3,식품의약품안전처,260g,해당없음,1,분석,2018-12-31,2025-04-08
