recipe_id,recipe_nm_ko,servings,ty_nm,cooking_time,level_nm,ingredient_full,step_text,tag
11,오징어채,2,밑반찬,5,아무나,"['진미채                                                                                크게 1줌', '고추장 1T', '고추가루 1T', '간장 1T', '다진마늘 1T', '깨 1T', '참기름 1T', '올리고당 2T', '마요네즈 0.5T', '물 2T']","['1. 진미채 한줌을 먹기 좋게 잘라 주시구요. 촉촉한 오징어채를 위해 양념 만드는 동안만 뜨거운 물에 담궈 불려 줍니다.', '2. 고추장1T+고추가루1T+간장1T+다진마늘1T+깨1T+참기름1T+올리고당2T+마요네즈0.5T+물2T를 넣고 잘 섞어 줍니다T:성인 숟가락 기준/마요네즈를 넣으면 훨씬 부드러워져요', '3. 오징어채는 물기를 짜지 마시고 그대로 체에 건져주시구요.그래야 촉촉한 오징어채가 되요', '4. 만들어 놓은 양념과 잘 섞어 줍니다.', '5. 양념이 잘 섞이면 비닐랩을 씌워주신 후 젓가락으로 구멍 2-3군데 내주시구요!전자레인지에 2분 돌려 주시면 끝!전자레인지', '6. 만물상에 소개된 불 없이 5분만에 만든 오징어채 완성입니다! 한입 먹어보니 촉촉하면서도 매콤달콤하니 간이 딱 맞고 맛있어요!요리 초보자분들도 쉽게 만들수 있어서 좋아요!']","['오징어채', '오징어채', '만들기', '오징어채', '황금레시피', '전자렌지', '요리', '초간단', '반찬', '간단한', '반찬', '밑반찬', '반찬만들기', '마른반찬', 'recipes']"
12,연두부,1,밑반찬,5,아무나,"['연두부 ', '다진파 ', '다진청양고추 ', '다진마늘 ', '간장 1~2스푼', '고춧가루 조금', '깨소금 조금', '참기름 ']","['1. 마늘, 청양고추, 파는 다져 놓고', '2. 그릇에 담고', '3. 간장 1~2스푼, 고춧가루 조금, 깨소금 조금 넣고', '4. 잘 섞어준 다음 마지막으로 참기름 넣고 섞어주면 양념장 끝.', '5. 연두부 위에', '6. 솔솔 부어주면 연두부 양념장 만들기 완성.']","['연두부', '연두부양념장', '연두부반찬', '연두부샐러드']"
13,부추달걀볶음,2,밑반찬,15,아무나,"['부추 1줌', '달걀 4개', '식용유 2큰술', '밥 2공기', '굴소스 1큰술', '참기름 1큰술']","['1. 부추는 적당한 크기로 썰고 달걀은 여러번 저어서 곱게 풀어 놓습니다', '2. 팬에 식용유를 두르고 뜨거워지면 달걀을 붓고 젓가락으로 저으면서 익혀주세요', '3. 부추와 굴소스를 넣고 볶아주세요', '4. 달걀과 섞은후 불을 끄고 참기름을 넣고 저어준후', '5. 그릇에 밥 한공기를 담고 그위에 부추 달걀 볶음을 담아주세요.']",[]
14,시금치달걀볶음,4,밑반찬,15,아무나,"['시금치 1/2단', '달걀 3알', '기름 2-3T', '다진파 1줌', '소금 3꼬집']","['1. 시금치는 깨끗하게 씻은 뒤 먹기 좋게 잘라주세요.시금치 1/2단', '2. 달걀 3알은 소금 한꼬집 넣어 잘 풀어주세요.달걀 3알, 소금 한꼬집', '3. 팬에 기름 살짝 두르고 달걀물을 넣어 약불에서 젓가락으로 저어가며 스크럼블 에그를 만들어 주세요.기름 약간, 달걀물약불', '4. 만들어진 스크럼블 에그는 접시에 잠시 덜어놓아 주세요.', '5. 팬에 기름 2T, 다진파 한 줌을 넣어 약불에서 파기름을 만들어 주세요.기름 2T, 다진파 한줌약불', '6. 파향이 올라오면 센불로 올리고 시금치를 넣어주세요.시금치센불', '7. 시금치 숨이 살짝 죽으면 소금 두꼬집 정도 넣어 잘 섞어주세요.소금 2꼬집센불', '8. 그리고 아까 만들어 놓은 스크럼블 에그를 다시 넣어 잘 섞어주면 완성입니다:) 부족한 간은 소금으로 맞춰주세요.스크럼블 에그센불소금 대신 굴소스를 조금 넣어주셔도 좋아요.']","['시금치달걀볶음', '시금치볶음', '시금치', '시금치요리', '시금치반찬', '달걀볶음', '달걀', '계란볶음', '시금치계란볶음', '계란']"
15,오징어간장조림,1,밑반찬,10,초급,"['작은오징어 1마리', '청양고추나꽈리고추 1개', '간장 3T', '맛술 0.5T', '다진마늘 1t', '생강가루 1번', '설탕 0.5T', '올리고당 1T', '참기름 1t', '통깨 톡톡', '물 6T', '후추 톡톡']","['1. 통깨와참기름빼고위의분량대로 양념장을만들어주세요 양념장이 끓어오르면', '2. 오징어를 넣어주세요(오징어는깨끗히 씻어서 먹기좋은 크기로잘라 미리준비해주세요)', '3. 청양고추나꽈리고추한개넣고 중불로졸여주세요(아이가맵다싶으면청양고추대신꽈리고추로넣어주세요\n청양고추한개정도넣으면약간매콤하면서 아이가먹을수는있겠더라구요 ~~^^)', '4. 마지막으로참기름과 통깨톡톡뿌려주믄완성이예요\n오징어를 두마리이상할때는위의양념은그대로하시고 양념장양을 \n입맛에따라조절하세요~~~^^', '5. 아이반찬 오징어간장조림 완성~~']",[]
16,청경채된장무침,3,밑반찬,10,아무나,"['청경채 7개', '된장 1/2숟갈', '참기름 1/2숟갈', '다진마늘 1/2숟갈', '깨 1/2숟갈', '소금 2꼬집']","['1. 청경채를 준비해주세요.저는 한봉에 7개 들어있어서 7개 다사용했어요~', '2. 청경채 꼭다리를 잘른뒤 씻어주세요.잎파리가 너무 크다고 생각이 드시면 세로로 반 잘라주세요.', '3. 청경채를 1분간 데쳐주세요.너무 오래 데치면 다중에 너무 물컹해져서 맛없어요..', '4. 데친 청경채는 바로 찬물에 행군뒤 물기를 꼭 짜주세요.한손에 들어오는 양만큼 집어서 나눠 물기를 짜주세요.', '5. 양념에 무쳐주세요.된장 1/2숟갈, 참기름 1/2숟갈, 다진마늘 1/2숟갈, 깨 1/2숟갈, 소금 2꼬집', '6. 짠!! 완성입니다~']","['찌망', '청경채', '청경채무침', '무침', '밑반찬', '청경채요리']"
17,오이토마토무침,2,밑반찬,20,아무나,"['오이 1개', '완숙토마토 1개', '꽃소금 약간', '설탕 2작은술', '깨소금 2큰술', '현미식초 2작은술', '양조간장 1큰술', '참기름 1작은술']","['1. 오이와 토마토는 깨끗이 \n씻어 주고\n(토마토가 작아서 두개 했어요)\n오이 표면에 있는 오돌도톨한 \n부분을 살짝 제거 해 주세요', '2. 오이는 반으로 잘라서\n씨를 제거 해 주고 ~', '3. 오이는 1.5cm 정도로 썰어 주고 ~', '4. 꽃소금 약간 넣어\n섞어 준 다음\n10분 절임 하고 ~', '5. 키친타올에 수분기\n제거 하고 ~', '6. 볼에 담아 주세요', '7. 토마토는 십자로 썰어 주고\n다시 반으로 잘라서 ~', '8. 씨를 제거 해 주세요', '9. 양념 만들어 주고 ~', '10. 깨소금은 바로 곱게\n갈아 주면 더\n맛있어요', '11. 양념은 잘 섞어 주세요', '12. 볼에 오이와 토마토\n담아 주고 ~', '13. 양념 넣어 주고 ~', '14. 살살 버무려 주면 됩니다', '15. 접시에 담아 주고 ~']","['토마토', '토마토요리', '토마토오이무침', '오이요리', '불없이하는요리', '간단한반찬', '일본식요리', '일본식반찬', '가정식', '깔끔한맛', '고소한맛', '산뜻한맛']"
18,메추리알조림,4,밑반찬,15,초급,"['메추리알 270g', '스팸 1/2캔', '청양고추 1~2개', '올리고당 1바퀴', '다진마늘 1티스푼', '참기름 1스푼', '통깨 적당히', '간장 6스푼', '설탕 1.5스푼', '맛술 2스푼', '물 1종이컵']","['1. 메추리알과 스팸하나면 반찬걱정 끝!', '2. 스팸 반캔 또는 1캔 네모네모 잘라주세요.', '3. 간장 6스푼을 넣어주세요.(선택재료) 맛술2스푼 감칠맛 추가', '4. 설탕 1스푼 반을 넣어주세요.', '5. 물은 종이컵1잔 분량 붓기.', '6. 다진마늘 커피스푼1\n매콤한 맛을 좋아한다면 \n청양고추 또는 꽈리고추 추가\n아이를 위한 반찬이라면 \n이 단계 생략!', '7. 7분~8분 동안 졸여주세요.', '8. 가스불 끄기 직전 올리고당 한바퀴 빙 둘러주시고 참기름 1스푼, 통깨 뿌리면 초간단 반찬 완성!']","['신혼밥상', '반찬', '메추리알조림', '아이반찬', '달콤', '도시락반찬', '초간단', '밑반찬', '쉬운반찬', '밥반찬']"
19,깻잎두부구이,2,밑반찬,30,아무나,"['간장 2숟가락', '맛술 1숟가락', '참기름 1/2숟가락', '통깨 1숟가락', '깻잎 3장']","['1. 두부는 먹기좋게 잘라주세요', '2. 소금,후추를 솔솔 뿌려 5분정도 놓아둔후에 키친타올로 물기를 제거해주세요', '3. 비닐봉투에 튀김가루를 넣어 물기제거한 두부에 튀김가루를 묻혀주세요\n튀김가루대신 전분이나 밀가루를 이용하셔도 좋아요\n근데 튀김가루나전분이 바삭하니 더 맛나답니다', '4. 달군팬에 기름을 두른후에 두부를 튀기듯 노릇하게 구워주세요', '5. 노릇노릇 이정도가 되면 잘 구워진거랍니다~\n밑면에 바삭바삭하답니다..\n불은 중약불로해서 구워주세요', '6. 깻잎은 깨끗이 씻어 꼭지를 떼고 돌돌말아 채썰어주세요', '7. 양념재료를 모두 넣어주시고 깻잎도 넣어 섞어주세요 \n그릇에 구운두부를 담고 깻잎간장을 올려주시면 되는데요\n손님초대요리로도 좋고 반찬,안주로도 좋을거 같아요']","['두부구이', '초간단반찬', '깻잎두부구이', '초간단', '손님초대요리', '안주', '반찬']"
20,스팸감자볶음,2,밑반찬,10,아무나,"['감자                                                                                중간사이즈 2개', '스팸 200g', '양파 1/2개', '진간장 2T', '물엿 2T', '물 3~4T', '식용유 1T', '참기름 1T']","['1. 감자(중간사이즈)두개를 깍뚝 썰어서 물에 담궈 주시구요~', '2. 스팸(200g짜리)이랑 양파반개도 마찬가지로 깍뚝 썰어 주세요~', '3. 끓는물에 감자를 2분간 데쳐 주시구요~', '4. 감자 데친물 그대로 스팸도 10초정도 담궈 첨가물을 빼주셔요^^', '5. 팬에 식용유한스푼, 참기름 한스푼 넣고 감자를 볶아 주시다가', '6. 양파를 넣고~ (당근을 넣으심 더이뻐요~당근을 넣으실땐 당근역시 1분정도 데쳐서 이때 넣어 주심 됩니다^^ 감자 데친 물그대로 감자->당근->스팸 순서로 데치심 되세요^^)', '7. 스팸넣어 볶아 주세요^^ 타지 않게 중불로 볶아 주세요^~^', '8. 양파가 살짝 익었다 싶으실때 진간장2스푼,물3~4스푼,물엿2스푼 넣어서 볶으면서 졸여 주세요^~^', '9. 요렇게 국물이 없어지면 불을끄고 잔열로 감자를 익혀 주심 됩니다^~^너무 오래 볶으시면 감자가 다부서 질수 있어요^^', '10. 달달하면서 짭조름~~ 쏙쏙 골라먹는 재미가 굿이에용^~^ 재료도 간단,방법도 간단 오늘 저녁 반찬으로 어떠세용^~^ ※감자 볶음과 맑은 감자국 바로 가기 \n☞ @6866831']","['감자요리', '감자조림', '초간단', '인기반찬', '인기메뉴', '저녁메뉴', '간단반찬', '감자볶음', '스팸요리', '스팸', '황금레시피', '밑반찬']"
21,소시지감자조림,3,밑반찬,10,초급,"['감자 2개', '비엔나소시지 10여개', '청양고추 2개', '식용유 2스푼', '식초 1티스푼', '간장 2스푼', '굴소스 1스푼', '물 1/2컵', '다진마늘 0.5스푼', '맛술 2스푼', '황설탕 0.5스푼', '올리고당 1.5스푼', '참기름 약간', '후추 약간', '깨소금 약간']","['1. 재료 준비해 주세요~', '2. 감자는 먹기 좋은 크기로 썰고 청양고추는 송송 썰고 \n비엔나소시지는 끓는 물에 한번 샤워시켜 준 다음\n이등분해 썰어주면 재료 준비 끝!', '3. 팬에 기름 약간 두르고 감자 넣고 1~2분 볶아 \n기름코팅을 시켜 준 다음 물 반컵 넣어 주세요~감자 기름에 볶은 후 조리면 \n잘 부서지지도 않고 간도 잘 배여요~', '4. 적힌 분량의 간장, 굴소스, 황설탕, 맛술, \n다진마늘, 올리고당을 넣어 주세요~', '5. 소시지 넣고 한번 휘저어 섞은 후 뚜껑 닫고 \n감자가 익도록 3분 정도만 끓여 주세요~', '6. 마지막에 식초 1티스푼 넣고 센불로 볶아 식초향 날린 후\n청양고추 넣고 한번 뒤적거려 준 다음 불 끄고 \n참기름, 깨소금 , 후추 약간 넣어 마무리 하면 완성!', '7. 슴슴하게 간이 적당하게 배여 \n밥반찬으로 넘 좋은 소시지 감자조림입니다']","['소시지감자조림', '감자조림', '소시지', '감자', '소세지', '소세지조림', '소시지조림', '밑반찬', '밥도둑', '반찬']"
22,카레두부구이,4,밑반찬,15,아무나,"['두부 1모', '카레가루 2T', '부침가루 1T', '계란 1개']","['1. 두부를 굽기 좋은 크기로 잘라주시고 \n소금을 약간 뿌려서 5분정도 놓아두세요.소금을 뿌려놓으면 두부가 단단해져서 \n구울 때 잘 부셔지지 않는다고 해요.', '2. 카레가루2T와 \n부침가루 1T를 섞어주세요.', '3. 계란도 풀어주세요. \n(카레의 간이 있어서 계란에는 \n간을 하지 않으셔야 해요!)', '4. 카레가루와 부침가루 섞은 것에 \n두부를 넣어 골고루 가루를 묻혀주고요.', '5. 계란물에 포옥 담그어 \n기름을 두른 팬에 구워내 주시면 됩니다. \n약불에서 지글지글 천천히 구워주세요.', '6. 앞뒤로 뒤집어서 구워내 주면 \n카레향 솔솔 나는 \n맛있는 카레두부구이가 완성된답니다.', '7. 쪽파나 브로콜리를 올리면 \n더 예쁜 카레두부부침 완성입니다.']","['두부', '카레가루', '밑반찬', '간단반찬', '아이반찬']"
23,팽이버섯조림,2,밑반찬,15,아무나,"['팽이버섯 1봉지', '청양고추 1개', '식용유 2스푼', '다진마늘 1큰술', '고추가루 1/2스푼', '설탕 1스푼', '미림 2스푼', '진간장 1스푼', '굴소스 1/2스푼', '고추장 1/3스푼', '된장 1/3스푼', '물 2스푼', '물엿 1스푼']","['1. 계량스푼은 집에서 사용하는 8cc 정도의 밥숟가락입니다.\n팽이버섯 1봉지~ 약 150g 을 봉지채로 아래에서 3cm 정도 부분을 그대로 썰어 줍니다~ 요래 썰어 주면 뿌리부분에 뿌스러기도 안떨어지고 처리하기가 좋아용~\n우리동네 팽이는 한봉지 180g 인데? 하시는분 걱정 마시고 그냥 다 쓰시면 됩니다~ 그정도 차이는 양념으로 커버 가능함!\n**사진과 설명으로 부족하신 분은 링크된 동영상 참고 해주세요. 두율이네 유툽 놀러 오시면 더많은 레시피와 최신 레시피를 더 빠르게 보실수 있습니다~ 구독해 주시면 땡큐~~', '2. 버섯은 흐르는물에 가볍게 씻거나 찬물에 담궈서 10초 정도만 흔들어 주면서 먼지 같은거만 제거합니다~ 팽이버섯은 너무 오래 담그면 팽이 특유의 향이 날아갈 뿐만 아니라~ 아직 살아 있는 아이라~곧 찌지고 뽁아질 지 운명을 모르고 더 오래 장수 할라고 물을 쫙쫙~ 빨아 들여서 나중에 지질때 빨아 먹은 물까지 다 뱉아 내서 철때반죽이 됩니다~ \n가볍게 씻어서 물을 탈탈 털어서 준비하세요~', '3. 버섯을 찢어서 준비하세요~ 한번 찢을때 15줄기 정도가 붙어 있는 정도면 됩니다~ 그렇다고 세아리면서 시간을 보내지는 마시고 대충 찢으시면 됩니다~ 30줄기 40줄기라도 맛있어용~', '4. 양념장을 분량대로 섞어서 준비 한 다음~\n후라이팬에 식용유 2스푼을 넣고 간마늘 1스푼 (20g)을 \n부어서 약불에 천천히 노릇하게 튀겨주세요~\n양념 무게는 요요요~ 밑에 참고~\n------ 양념 ------ \n고추가루 반스푼 (3~4g)\n설탕 1스푼(10g)\n미림 2스푼 (16g) \n진간장 1스푼 (8g)\n굴소스 반스푼 (5g)\n물엿 1스푼 (10g) \n고추장 1/3스푼 (10g)\n된장 1/3스푼 (10g)\n물2스푼 (16g)', '5. 마늘이 노릇해 졌으면 마늘기름을 후라이팬에 넓게~ 골고루 흩어서 편 다음 그 위에 팽이 버섯을 펼쳐서 올린 다음 불을 강불로 올리고 30초간 구워 줍니다~ \n후라이팬은 좀 넓은걸 쓰세요~ 그래야 더 맛있어요~ 제가 쓴 후라이팬은 24cm 짜리에용~ 한뼘보다 조금 더 큰 싸이즈죠~', '6. 뒤집어서 30초를 더 구워 주세요~', '7. 앞뒤로~ 30초씩 총 1분을 지졌으면 양념장을 골고루 끼얹어 줍니다~ 양념을 끼얹고 1분 정도르 자글자글 끓여 주시면 되요~ 사실........\n저는 모양좀 잡을려고 저렇게 했는데 집에서 그냥 반찬으로 드실때는 마늘기름에 팽이넣고 그냥 대충 1분간 휘휘 저어가면서 볶은 다음에 양념장 뿌려서 1분간 또 대충 섞으면서 볶으시면 되요 ^^~\n누구한테 잘보일일 없어서 비쥬얼 필요 없이 먹을땐~ 대충 휘리릭 뽁으세용~', '8. 청양고추를 1개 잘게 잘라서 뿌려서 올린 다음 30초 정도 더 구워 주세요~ 청양고추랑 같이 주서 먹으면 완전 맛있어요~\n청양고추 안올리시면 그냥 30초 더 구우시면 되요~', '9. 밥한숟갈 입에 넣고~ 요렇게 양념 슥슥 뭍혀서 청양고추 한개 올리가 입에 넣어주믄 ... 완전 맛있어용!~!']","['팽이버섯', '팽이버섯조림', '팽이버섯요리', '팽이버섯양념', '팽이버섯볶음']"
24,참치감자조림,2,밑반찬,10,아무나,"['참치 1캔', '감자 작은거 2개', '양파 1/2개', '대파 1줌', '청양고추                                                                                매콤하게 먹고싶으면 1꼬집', '고추장 1스푼', '고춧가루 1스푼', '간장 1스푼', '다진마늘 1스푼', '설탕 1스푼', '물 200ml', '후추 톡톡']","['1. 감자와 양파는 먹기좋게 썰어주세요', '2. 뚝배기(냄비)에 감자와 양파를 넣고', '3. 양념장은 미리 섞어주세요', '4. 참치는 기름기를 뺀뒤 올려주고', '5. 대파도 올려줘요(매운거 좋아하시면 청양고추도 한꼬집)', '6. 잘섞인 양념장은', '7. 냄비에 붓고 물도 넣어서 푹 끓여줍니다', '8. 너무 휘저으면 참치가 으깨지기는 하는데 어차피 밥 비벼먹을거면 상관없어요! \n끓이기만 하면 완성 입니다!']","['초간단찌개', '찌개', '참치감자찌개', '감자참치찌개', '고추장찌개', '고추장감자찌개', '참치고추장찌개', '저녁', '간단찌개', '조림']"
